S.No,States/UTs,Greviously Injured persons,Minor Injured persons,Total Injured persons
1,Andhra Pradesh,2341,5910,8251
2,Arunachal Pradesh,74,31,105
3,Assam,2782,607,3389
4,Bihar,2248,523,2771
5,Chhattisgarh,697,2895,3592
6,Goa,130,411,541
7,Gujarat,2092,1585,3677
8,Haryana,796,2541,3337
9,Himachal Pradesh,752,1807,2559
10,Jammu & Kashmir,1328,1434,2762
11,Jharkhand,985,238,1223
12,Karnataka,5988,10515,16503
13,Kerala,6958,3503,10461
14,Madhya Pradesh,1186,8869,10055
15,Maharashtra,5487,2970,8457
16,Manipur,166,419,585
17,Meghalaya,23,13,36
18,Mizoram,16,16,32
19,Nagaland,90,90,180
20,Orissa,2488,2006,4494
21,Punjab,1064,518,1582
22,Rajasthan,2158,4865,7023
23,Sikkim,61,55,116
24,Tamil Nadu,1617,22399,24016
25,Telangana,506,6543,7049
26,Tripura,219,8,227
27,Uttarakhand,652,107,759
28,Uttar Pradesh,7750,3162,10912
29,West Bengal,3360,843,4203
30,A & N Islands,12,87,99
31,Chandigarh,3,32,35
32,D & N Haveli,0,0,0
33,Daman & Diu,0,0,0
34,Delhi,140,564,704
35,Lakshadweep,0,0,0
36,Puducherry,361,526,887
Total,Total,54530,86092,140622
